,Unnamed: 0,Unnamed: 0.1,link,summary,purpose,lex_rank,edmunson,lead_cm,prsummarizer
0,0,137115671,https://api.github.com/repos/wqtshg/sdk-ezdvpp,Codes for transforming/resizing/croping picture,transformingresizingcroping picture,the methods of using ezdvpp apis are as follows image format conversion convert yuv data streams obtained by the camera into jpg data streams.,encn the ezdvpp encapsulates the dvpp apis to simplify the calls.,encn the ezdvpp encapsulates the dvpp apis to simplify the calls. the main functions include image format conversion including yuv to jpg yuv to h.264,the dvpp [UNK] to simplify the calls
1,1,136599221,https://api.github.com/repos/OrionStar25/ModulemdTranslationHelpers,A python library and CLI tool for extracting translatable strings and generating modulemd-translations YAML,extracting translatable strings and generating modulemdtranslations YAML,cli usage extract translatable strings to extract translatable strings from modules for a particular fedora release e.g. f29 this will read all of the module metadata from the koji buildsystem and convert the translatable strings to a portable object template document.,modulemdtranslationhelpers prerequisites libmodulemd koji to install on fedora 28 run installation with the prerequisites installed the latest version can be installed with or on fedora 28 with recommended.,modulemdtranslationhelpers prerequisites libmodulemd koji to install on fedora 28 run installation with the prerequisites installed the latest version can be installed with or on fedora,package for read object of the object template
2,2,136636607,https://api.github.com/repos/kummababo/learning-react,"The code samples for Learning React by Alex Banks and Eve Porcello, published by O'Reilly Media",Learning React by Alex Banks and Eve Porcello published by OReilly Media,learning react the code samples for learning react by alex banks and eve porcello published by oreilly media if you’re interested in react but find yourself confused about how to get started this is the book is for you.,learning react the code samples for learning react by alex banks and eve porcello published by oreilly media if you’re interested in react but find yourself confused about how to get started this is the book is for you.,learning react the code samples for learning react by alex banks and eve porcello published by oreilly media if you’re interested in react but find,react code samples for learning react by alex banks and eve porcello published
3,3,136730783,https://api.github.com/repos/switchdin/react-gauge-chart,React component for displaying a gauge chart,displaying a gauge chart,if the number of colors does not match the number of levels then the first and the last color from the colors array will be selected and the arcs will get colors that are interpolated between those.,reactgaugechart react component for displaying a gauge chart using d3.js usage install it by running .,reactgaugechart react component for displaying a gauge chart using d3.js usage install it by running . then to use it examples check the demo below,react component for displaying a gauge chart using d3js
4,4,136794632,https://api.github.com/repos/AlexDoudelet/Compare2csvfiles,PowerShell scripts to compare 2 csv files with and without data cleanup,compare 2 csv files with and without data cleanup,this file is written the 23rd of may 2019. this file is organized as below 1.prerequisite 2.compare 2 csv files script 3.compare 2 csv files with conversion rules script 4.how to read the report file 5.contact 1.prerequisite this script has been written to work on windows using windows powershell v1.0 the user needs to be able run powershell script to be able to run the powershell script the user can type setexecutionpolicy unrestricted scope currentuser in powershell consol the user needs to create a folder cresult this folder will be used to stored the timestamp result file if the script with conversion rules is execute the user needs to create a foldercdata this folder will be used to stored the staging files corrected reference objectand corrected difference object after applying the conversion rules remove space in the name of your file 2.compare 2 csv files script the goal of this test script is to compare 2 csv files and create a report file with the result of the comparaison.,this file is written the 23rd of may 2019. this file is organized as below 1.prerequisite 2.compare 2 csv files script 3.compare 2 csv files with conversion rules script 4.how to read the report file 5.contact 1.prerequisite this script has been written to work on windows using windows powershell v1.0 the user needs to be able run powershell script to be able to run the powershell script the user can type setexecutionpolicy unrestricted scope currentuser in powershell consol the user needs to create a folder cresult this folder will be used to stored the timestamp result file if the script with conversion rules is execute the user needs to create a foldercdata this folder will be used to stored the staging files corrected reference objectand corrected difference object after applying the conversion rules remove space in the name of your file 2.compare 2 csv files script the goal of this test script is to compare 2 csv files and create a report file with the result of the comparaison.,this file is written the 23rd of may 2019. this file is organized as below 1.prerequisite 2.compare 2 csv files script 3.compare 2 csv files,script to read the report file
5,5,136619313,https://api.github.com/repos/dorucioclea/openshift-microservices,:memo: Example showcasing how to leverage OpenShift and it's runtimes to do microservices,do microservices,how to run this first off you need access to an openshift cluster.,please note this repo is inwork we are still building out the core capabilities.,please note this repo is inwork we are still building out the core capabilities. current status working services appui boards contextscraper and profile service coming,example microservices to develop and manage microservices using a container platform
6,6,136747108,https://api.github.com/repos/bingxueyouwu/Cryengine-Converter,A c# program to convert Crytek files to .obj and Collada formats,obj and Collada formats,this program will take that file and convert it by default to an .obj material file with the same name which is not ideal.,cryengine converter cryengine converter is a c program to help convert cryengine assets into a more portable format.,cryengine converter cryengine converter is a c program to help convert cryengine assets into a more portable format. currently it supports and collada to some,program to help convert cryengine assets into a more portable format
7,7,137522198,https://api.github.com/repos/xamarinhub/AsteroidsWasm,Collection of C# projects to see if a single .NET Standard base can run across all platforms including Blazor WebAssembly.,see if a single NET Standard base can run across all platforms including Blazor WebAssembly ,note that the blazor winforms and wpf core projects require visual studio 2019 or the latest visual studio code to edit and compile otherwise it can be done via command line.,asteroids in .net framework .net core 3 and blazor webassembly live demo httpsaesalazar.github.ioasteroidswasm this project is a poc to determine the plausibility of writing a .net standard library and using it across devices including webassembly wasm.,asteroids in .net framework .net core 3 and blazor webassembly live demo httpsaesalazar.github.ioasteroidswasm this project is a poc to determine the plausibility of writing a,net framework is a poc to determine the plausibility of writing a net standard library and using it devices
8,8,136652185,https://api.github.com/repos/RedSweatshirt/PiGPIOandCamera,Instructions on how to use pi4j and JRPiCamera on the raspberry pi for coding in Java,coding in Java,pi4j curl ssl httpspi4j.cominstall sudo bash 2 ensure that the latest version of wiringpi is installed by running gpio v compare the version number with the number on the website wiringpi.comdownloadandinstall this step is crucial in newer raspberry pi kernels as their processor identifier changed and will not be compatible with older versions of wiringpi 3 import the pi4j packages that you need into the java program you are writing the import statements are as follows import com.pi4j.io.gpio.gpiocontroller used to create gpio object and use methods import com.pi4j.io.gpio.gpiofactory used to instantiate the gpio object import com.pi4j.io.gpio.gpiopin generic gpio pin class import com.pi4j.io.gpio.gpiopindigitalinput import com.pi4j.io.gpio.gpiopindigitaloutput import com.pi4j.io.gpio.pindirection import com.pi4j.io.gpio.pinmode import com.pi4j.io.gpio.pinpullresistance import com.pi4j.io.gpio.pinstate import com.pi4j.io.gpio.raspipin used to identify pins on the raspberry pi to define import com.pi4j.io.gpio.trigger.gpiocallbacktrigger import com.pi4j.io.gpio.trigger.gpiopulsestatetrigger import com.pi4j.io.gpio.trigger.gpiosetstatetrigger import com.pi4j.io.gpio.trigger.gpiosyncstatetrigger import com.pi4j.io.gpio.event.gpiopinlistener import com.pi4j.io.gpio.event.gpiopindigitalstatechangeevent import com.pi4j.io.gpio.event.gpiopinevent import com.pi4j.io.gpio.event.gpiopinlistenerdigital import com.pi4j.io.gpio.event.pineventtype the first two imports are always necessary to create the gpiocontroller object and use its methods 4 write the code using as necessary the documentation from httpspi4j.com1.2apidocsindex.html 5 to compile if the ides compile does not work which it often doesnt.,project title javagpio purpose of project to make the gpio work in java development date 52319 authors jack eastman user instructions 1 install pi4j from either the pi4j website at pi4j.com1.2download.html or by running the follow command in terminal.,project title javagpio purpose of project to make the gpio work in java development date 52319 authors jack eastman user instructions 1 install pi4j from,purpose of project to make the gpio work in java development
9,9,136607176,https://api.github.com/repos/lesstif/jpegoptim,jpegoptim - utility to optimize/compress JPEG files,optimizecompress JPEG files,you may wanna do something like this zcat jpegoptim1.4.6.tar.gz tar xf cd jpegoptim1.4.6 .configure make make strip make install history v1.4.6 fix double free introduced in previous release v1.4.5 fix overwrite option better error reporting for d option fix memcmp potentially reading past end of buffer some minor fixes v1.4.4 more detailed error messages thanks to denis fateyev cmake support thanks to ghostkeeper other minor fixes v1.4.3 fix bug that could cause jpegoptim crash when processing certain jpeg files v1.4.2 add option p preserveperms some minor fixes v1.4.1 fix stdin option assume f when reading from stdin workaround to bug in libjpegturboi v1.3.1 triggered when option v or version was used other minor fixes v1.4.0 use memory instead of temporary files during optimization support for reading input from stdin and sending output to stdout report also libjpeg version when version option used new option stripnone to preserve all markers other minor fixes cleanup v1.3.1 xmp marker support and new csv option by matteo croce use destdir instead of installroot by samuli suominen changes to make compiling under win32 and win64 easier thanks to javier gutiã©rrez preserve permissions of files being optimized skip symlinks and other special files other minor fixes v1.3.0 support for progressive jpegs added fixes long standing bug of progressive jpegs becoming nonprogressive during optimization new options allnormal allprogressive for converting jpegs to nonprogressive progressive new s size option to set target size for output file enables lossy optimization updated gplcopyrights language thanks to nicolas vieville v1.2.5 safer temp file handling if mkstemps available patch to make quiet mode q be quiet by mathieu malaterre v1.2.4 new t threshold option by matteo croce minor fixes potential memory leaks merged some patches from debian jpegoptim package 1.2.32 v1.2.3 iptc marker support by dustin ward icc profile support by dwight kelly minor fixes v1.2.2 now exif and com markers are not discarded all other markers are discarded as before.,jpegoptim v1.4.6 copyright c timo kokkonen 19962018. all rights reserved.,jpegoptim v1.4.6 copyright c timo kokkonen 19962018. all rights reserved. requirements independent jpeg groups jpeg library libjpeg version 6b or later. alternatively should also work,tar library to crash processing certain and win64 the program
