,link,summary,prsummarizer
0,https://api.github.com/repos/wqtshg/sdk-ezdvpp,Codes for transforming/resizing/croping picture,the dvpp [UNK] to simplify the calls
11,https://api.github.com/repos/cuba-platform/saml-addon,This component provides a readily available instrument of authentication in any CUBA-based application using SAML open standard. That allows identity provider to pass authorization credentials to your applications - service providers.,component provides a readily component to log the instrument of authentication in saml application using [UNK]
37,https://api.github.com/repos/zhanghengios/SwiftCharts,Easy to use and highly customizable charts library for iOS,easy to use and highly customizable charts library for [UNK]
60,https://api.github.com/repos/lechu445/LightXmlWriter,"Light implementation of XmlWriter equivalent designed to be as close as possible of XmlWriter usage & behaviour with most common settings (no pretty-print, no xml declaration, etc.)",[UNK] is a replacement of xmlwriter which can be useful in highperformance api
100,https://api.github.com/repos/ChronSyn/react-native-circle,React Native library to generate Google plus circle.,[UNK] library to use the native image
134,https://api.github.com/repos/Wesleycampagna/note_image,notation write over the background theme that represent tasks to do.,notation write over the background theme that represent tasks to do algumas coisas [UNK] [UNK] [UNK]
159,https://api.github.com/repos/minho3/OBD-PIDs-for-HKMC-EVs,Setting up Torque Pro to show OBD data on Hyundai / Kia Electric Vehicles,pids for hyundaikiamotorcompany electric [UNK]
229,https://api.github.com/repos/yxlku/SQLiteToExcel,"A simple lib for Android to export SQLite to Excel, also Excel to SQLite.",use ooxml to use to use with 3 and [UNK]
285,https://api.github.com/repos/dhavalthakkar93/Heroku-PrivateLink-Terraform-Automation,Magic of terraform and shell script to automate the process of provisioning Heroku PrivateLink which use to connect to a Private Heroku Postgres Database from an Amazon VPC,terraform and shell script to automate the process of provisioning heroku privatelink which use to connect to a private heroku postgres database from an [UNK]
301,https://api.github.com/repos/valery-nguyen/coolbnb,"Service Web App giving users the possibility to search and book lodging, filtered by location, dates, type, and price.",airbnbcom [UNK] is an airbnbcom application giving users the possibility to search and book lodging filtered by location dates
316,https://api.github.com/repos/Trewaters/TheDojo,Generic Dojo files for anyone to setup their own coding dojo based on Berkeley JavaScript Dojo (BJD).,guide to reading the github of [UNK]
326,https://api.github.com/repos/aprilies/typecho-plugin-Restful,Yet another awesome Typecho plugin to make your blog RESTful.,plugin plugin to string [UNK]
336,https://api.github.com/repos/synergy-au/salesforce-plantuml,Salesforce app to generate UML class & ER-diagrams from your org data. Leverages the PlantUML library.,native forcecom application for drawing uml class for a given set of apex classes or sobjects [UNK]
364,https://api.github.com/repos/hidekuro/cloudtrail-to-slack,Lambda function which notify AWS CloudTrail event logs to slack.,cloudwatch to slack cloudtrail [UNK]
381,https://api.github.com/repos/christophervistal25/Learning-Resources,"\Technology Gold mine\"" to collect and share materials/resources""",initiaitve initiaitve by gdg [UNK] for community and by community we
457,https://api.github.com/repos/guihao/intellij-idea-tutorial,"????   This is a tutorial of IntelliJ IDEA, you can know how to use IntelliJ IDEA better and better.",pycharm to use and use to use with [UNK]
466,https://api.github.com/repos/bred86/prometheus_poc,PoC to move from Graphite to Prometheus without changing app's metrics,[UNK] is a poc ill solution to understand the alert cause of issues
529,https://api.github.com/repos/andre-violin/frontendBasicApp,Basic front end application to consume the generated API in the backend-app-base project.,basic template to visa a native [UNK] [UNK]
535,https://api.github.com/repos/cityy/udk-orga,A tool to represent UdK Berlin organizational structure in a graph format.,ist ein ist ein werkzeug zur abbildung abbildung [UNK] [UNK] [UNK] to manage your [UNK]
568,https://api.github.com/repos/liueast/CircularAnim,"Android ripple animation helper, easy to create Circular Reveal. | Android水波动画帮助类，轻松实现View show/hide/startActivity()特效。(0.4.6)",[UNK] to the the project to develop the project for the the app for the project level
602,https://api.github.com/repos/rorymarkham/javascript-2-afternoon-3,An afternoon project to help students solidify Callbacks.,[UNK] project to help solidify [UNK]
633,https://api.github.com/repos/CoderSYC/auto-py-to-exe,Converts .py to .exe using a simple graphical interface ,[UNK] to exe a py to exe converter
658,https://api.github.com/repos/the-rilenator/react-2-mini,"A React mini project to help students solidify this, bind, state, and props.",[UNK] project to create the application of a paragraph realtime using elements
693,https://api.github.com/repos/sayyidisal/frontend-nanodegree-resume,This repository is used for one of the projects in Udacity's Front-End Web Developer Nanodegree program. Learn how to become a Front-End Developer today with line-by-line code reviewed projects and get a job with career services!,[UNK] project review the online resume project to store your resume data in four
709,https://api.github.com/repos/tomb0x/reference-pl,Reference-pl to repozytorium dokumentacji referencyjnej języka programowania Arduino w języku polskim,to repozytorium to repozytorium [UNK] [UNK]
739,https://api.github.com/repos/luyafei89430/google-services-unity,"This  Unity Plugin Include Google Admob,Firebase Analytic Unity Plugin,Google Play Game Unity Plugin. All Admob,Firebase Analytic,Play Game API are supported and use to use in unity with c# or js",unity plugin for unity [UNK] [UNK] [UNK] is a unity plugin to use a unity google admob [UNK]
752,https://api.github.com/repos/hanabot/RadialBar,This JavaScript library allows you to create radial progress bars on the canvas.,[UNK] [UNK] to use and use with [UNK]
756,https://api.github.com/repos/lsellens/OctoPrint-Slic3r,Slic3r plugin for slicing within OctoPrint,plugin for octoprint warning [UNK]
770,https://api.github.com/repos/wearemadru/SwiftCodestyle,Style guide for writing in Swift.,script style guide guide to use and use with [UNK]
