,link,summary,prsummarizer
34,https://api.github.com/repos/Knohraan/scripts-to-rule-them-all,Scripts to Rule Them All,rule them all in [UNK]
51,https://api.github.com/repos/JIMMY-KSU/sklearn2pmml,Python library for converting Scikit-Learn pipelines to PMML,pmml with [UNK] [UNK] and [UNK]
59,https://api.github.com/repos/yanglizong/a-PyTorch-Tutorial-to-Image-Captioning,"Show, Attend, and Tell | a PyTorch Tutorial to Image Captioning",image with [UNK] and [UNK]
67,https://api.github.com/repos/zovafit/JWTDecode.swift,A library to help you decode JWTs in Swift,help check check payload [UNK]
107,https://api.github.com/repos/aledalgrande/ember-cli-deploy-sentry,An ember-cli-deploy-plugin to upload javascript sourcemaps to Sentry,sentry with [UNK] [UNK] [UNK]
125,https://api.github.com/repos/edwd42/vuepress-blog-boilerplate,An ever-evolving and opinionated dev environment for people who want to use VuePress to power their blogs.,power your blogging of [UNK]
134,https://api.github.com/repos/Wesleycampagna/note_image,notation write over the background theme that represent tasks to do.,do algumas coisas já [UNK]
173,https://api.github.com/repos/taoqf/quill-image-resize-module,A module for Quill rich text editor to allow images to be resized.,allow resized resized with [UNK]
202,https://api.github.com/repos/Casper0513/node-open-mining-portal,Try to reborn NOMP. Only for devs.,reborn with [UNK] [UNK] [UNK]
205,https://api.github.com/repos/DevAbanoub/openshot-qt,"OpenShot Video Editor is an award-winning free and open-source video editor for Linux, Mac, and Windows, and is dedicated to delivering high quality video editing and animation solutions to the world.",the world build and [UNK]
218,https://api.github.com/repos/Sasaank/qha,"A pure Python package for calculating thermodynamic properties under quasi-harmonic approximation, using data from ab-initio calculations",quasiharmonic approximation toc on [UNK]
224,https://api.github.com/repos/xfsongsap/tomee-buildpack,Cloud Foundry buildpack for running Java applications using TomEE,running jvmbased jvmbased [UNK] [UNK]
230,https://api.github.com/repos/liuheshun/JXCategoryView,"A powerful and easy to use category view (segmentedcontrol, segmentview, pagingview, pagerview, pagecontrol) (腾讯新闻、今日头条、QQ音乐、网易云音乐、京东、爱奇艺、腾讯视频、淘宝、天猫、简书、微博等所有主流APP分类切换滚动视图)",use category category and [UNK]
240,https://api.github.com/repos/Vrajsingh/basic-css,Last topic of basic css -Use of media query to change variable,change variable with [UNK] [UNK]
333,https://api.github.com/repos/realize-qzq/nlp-data-loading-framework,We are trying to define a framework for NLP tasks that easily maps any kind of word embedding data set with any kind of text data set. The framework should decrease the amount of additional code needed to work on different NLP tasks.  We have found that f,nlp text with [UNK] data
347,https://api.github.com/repos/asayah/free-trusted-ca-cert,How to generate a reusable trusted ca cert using certbot,noipcom dns prerequisites in [UNK]
388,https://api.github.com/repos/d7561985/go-ext-wasm,????????️ Go library to run WebAssembly binaries.,executing webassembly binaries on [UNK]
404,https://api.github.com/repos/HDUfang/brian2,"Brian is a free, open source simulator for spiking neural networks. ",spiking neural networks and [UNK]
405,https://api.github.com/repos/mayankagarwal44442/API-service,This is the official repository of Gnani Innovations. This repository will contain instructions to be followed for setting up the API and grpc sample codes.,text with [UNK] [UNK] [UNK]
488,https://api.github.com/repos/gpuliyar/helm-install-init-gke-error,Helm install in GKE leads to an error. Article explains how to resolve it.,resolve your application on [UNK]
508,https://api.github.com/repos/johanpedroo/Node.CLI-Progress, :hourglass: Easy to use Progress-Bar for Command-Line/Terminal Applications,commandlineterminal commandlineterminal install features [UNK]
542,https://api.github.com/repos/Christian510/react-5-afternoon,An afternoon project to help solidify using redux in a react application.,pass its data before [UNK]
550,https://api.github.com/repos/Ticolyle/twig-extensions,A Craft CMS 3 module that adds various functionality to twig.,craft cms 3x this [UNK]
560,https://api.github.com/repos/zarqeon/php-getter-setter.vim,a vim plugin to generate php getters and setters from class properties -- http://www.vim.org/scripts/script.php?script_id=1707,adding gettersetter methods methods [UNK]
652,https://api.github.com/repos/SummittDweller/hugo-search-fuse-js,Hugo theme component for implementing static site search using Fuse.js,use it with [UNK] and [UNK]
655,https://api.github.com/repos/sylver7/HtmlSanitizer,Cleans HTML to avoid XSS attacks,xss attacks and [UNK] html
690,https://api.github.com/repos/NCAR/RAOBget,Script to download RAOBS from the University of Wyoming Radiosonde Archive using wget and URL keywords,accessing gifskewt images of [UNK]
709,https://api.github.com/repos/tomb0x/reference-pl,Reference-pl to repozytorium dokumentacji referencyjnej języka programowania Arduino w języku polskim,repozytorium polskiej dokumentacji [UNK] [UNK]
746,https://api.github.com/repos/danyill/antora-indexer-poc,"Demonstrates how to add lunr.js indexing to Antora builds, and a search UI to the Antora default UI.",[UNK] builds and a search
749,https://api.github.com/repos/github-38438-org/wellington,This project is meant to provide a base for Spring Boot development.  The idea is to be able to git clone this project and get right down to implementing features.,spring boot development inside [UNK]
752,https://api.github.com/repos/hanabot/RadialBar,This JavaScript library allows you to create radial progress bars on the canvas.,radius radius v022 [UNK] [UNK]
770,https://api.github.com/repos/wearemadru/SwiftCodestyle,Style guide for writing in Swift.,api для [UNK] [UNK] [UNK]
837,https://api.github.com/repos/coleturner/jest-expect-codemod,"CodeMods for migrating `chai.assert`, `chai.expect`, `assert` -based test assertions to jest's `expect` assertions",jests with [UNK] [UNK] [UNK]
843,https://api.github.com/repos/wangaoone/redeo,High-performance framework for building redis-protocol compatible TCP servers/services,building redisprotocol [UNK] [UNK] [UNK]
868,https://api.github.com/repos/tyxeron/tf-recsys,tf-recsys contains collaborative filtering (CF) model based on famous SVD and SVD++ algorithm. Both of them are implemented by tensorflow in order to utilize GPU acceleration.,utilize gpu acceleration and [UNK]
887,https://api.github.com/repos/Liliputech/koha-plugin-support,Koha plugin to assist with supporting Koha users,your library and [UNK] plugins
892,https://api.github.com/repos/CBEPX/ntfy,"????️???????? A utility for sending notifications, on demand and when commands finish.",your shell with [UNK] [UNK]
969,https://api.github.com/repos/falleaf/ML-Tutorial-Experiment,Coding the Machine Learning Tutorial for Learning to Learn,learn 第一期：从零开始用tensorflow搭建卷积神经网络文章代码 补充资料：基础代码解析 补充资料：keras构建cnn [UNK]
992,https://api.github.com/repos/jmcruzmanalo/useDimensions,A React Hook to measure DOM nodes,measure with dom of [UNK]
1004,https://api.github.com/repos/mikiec84/ccdb5-api,An API that provides an interface to search complaint data.,search complaint data features [UNK]
1005,https://api.github.com/repos/Developmc/eosio-java,EOSIO SDK for Java - API for integrating with EOSIO-based blockchains,integrating with eosiobased blockchains using [UNK]
1044,https://api.github.com/repos/Jokzin/react-markdown-loader,This loader parses markdown files and converts them to a React Stateless Component. It will also parse FrontMatter to import dependencies and render components along with it’s source code.  We developed this loader in order to make the process of creating,a react stateless component with [UNK]
